english,yoruba
"In Genesis chapter 1, we see the very graphic description of creation.","Ní Gẹnẹsisi orí 1, a rí àpèjúwe ìṣẹ̀dá lọ́nà tó hàn kedere."
"In the beginning of all things, God created a very rich, prosperous earth, with everything reproducing after its kind, and man, made in the image of God and put in charge:","Ní ìbẹ̀rẹ̀ ohun gbogbo, Ọlọrun dá ayé tó ní ọlá, tó ní ọrọ̀, pẹ̀lú ohun gbogbo tó ń so èso ní irú tirẹ̀, àti ènìyàn, tí a dá ní àwòrán Ọlọrun, tí a sì fi ohun gbogbo sábẹ́ àkóso rẹ̀."
"And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.","Ọlọrun si wipe, Jẹ ki a dá enia li aworan wa, gẹgẹ bi irí wa: ki nwọn ki o si jọba lori ẹja okun, ati lori ẹiyẹ oju-ọrun, ati lori ẹranko, ati lori gbogbo ilẹ, ati lori ohun gbogbo ti nrakò lori ilẹ."
"So God created man in his own image, in the image of God created he him; male and female created he them.","Bẹ̃li Ọlọrun dá enia li aworan rẹ̀, li aworan Ọlọrun li o dá a; ati akọ ati abo li o dá wọn."
"And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.","Ọlọrun si súre fun wọn. Ọlọrun si wi fun wọn pe, Ẹ ma bi si i, ki ẹ si ma rẹ̀, ki ẹ si gbilẹ, ki ẹ si ṣe ikawọ rẹ̀; ki ẹ si ma jọba lori ẹja okun, ati lori ẹiyẹ oju-ọrun, ati lori ohun alãye gbogbo ti nrakò lori ilẹ."
"And God said, Behold, I have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat.","Ọlọrun si wipe, kiye si i, Mo fi eweko gbogbo ti o wà lori ilẹ gbogbo ti nso eso fun nyin, ati igi gbogbo ninu eyiti iṣe igi eleso ti nso; ẹnyin ni yio ma ṣe onjẹ fun."
"And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, I have given every green herb for meat: and it was so.","Ati fun gbogbo ẹranko ilẹ, ati fun gbogbo ẹiyẹ oju-ọrun, ati fun ohun gbogbo ti o nrakò lori ilẹ, ti iṣe alaye, ni mo fi eweko tutu gbogbo fun li onjẹ: o si ri bẹ̃."
Genesis 1:26-30,Gẹnẹsisi 1:26-30
"To wrap it all up, the Bible records in Genesis 2:8-12:","Láti kásẹ̀ gbogbo rẹ̀ nílẹ̀, Bíbélì ṣàkọsílẹ̀ rẹ̀ nínú Gẹnẹsisi 2:8-12 pé:"
And the LORD God planted a garden eastward in Eden; and there he put the man whom he had formed.,OLUWA Ọlọrun si gbìn ọgbà kan niha ìla-õrùn ni Edeni; nibẹ̀ li o si fi ọkunrin na ti o ti mọ si.
"And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil.","Lati inu ilẹ li OLUWA Ọlọrun mu onirũru igi hù jade wá, ti o dara ni wiwò, ti o si dara fun onjẹ; ìgi ìye pẹlu lãrin ọgbà na, ati igi ìmọ rere ati buburu."
"And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads.","Odò kan si ti Edeni ṣàn wá lati rin ọgbà na; lati ibẹ̀ li o gbé yà, o si di ipa ori mẹrin."
"The name of the first is Pison: that is it which compasseth the whole land of Havilah, where there is gold;","Orukọ ekini ni Pisoni: on li eyiti o yi gbogbo ilẹ Hafila ká, nibiti wurà wà;"
And the gold of that land is good: there is bdellium and the onyx stone.,Wurà ilẹ na si dara: nibẹ ni bedeliumu (ojia) wà ati okuta oniki.
"Man lived in a garden of affluence and abundance of all things, and was given everything freely to enjoy.","Ọmọ ènìyàn gbé ní ọgbà ọrọ̀ àti ọlá ńlá nínú ohun gbogbo, a sì fi ohun gbogbo fún un lọ́fẹ̀ẹ́ láti má a gbádùn."
"So, wealth came along with creation and was equally distributed to every part of the world.","Nítorí náà, ọrọ̀ wáyé papọ̀ pẹ̀lú ìṣẹ̀dá ni, a sì pin dọ́gba káàkiri ibi gbogbo ní àgbáyé."
"As a matter of fact, up until 1400, the whole world was said to be at the same level of civilization and development.","Pàápàá jùlọ, títí di 1400 (ọ̀rúndún kẹrìnlá), gbogbo àgbáyé ni a gbọ́ pé ó wà ní ipele ọ̀làjú àti ìdàgbàsókè kan náà."
"So, what happened to us?","Nítorí náà, kí ló wá ṣẹlẹ̀ sí wa?"
The Bible says:,Bíbélì wí pé:
“And there was war in heaven:”,“Ogun si mbẹ li ọrun:”
(Revelation 12:7).,(Ifihan 12:7).
The subject of war is not new to man.,Ohun tó ń jẹ́ ogun kìí ṣe ohun tuntun létí ọmọ ènìyàn.
"If the devil could organize to fight in heaven, where he knew for a surety that he would fail, how much more would he fight with men, taking advantage of their ignorance.","Bí èṣù bá lè ṣètò láti dá ìjà sílẹ̀ ní òde ọ̀run, níbití òun ti mọ̀ dájúdájú pé òun kò lè borí, báwo ni a ṣe wá rò pé kò lè bá ènìyàn jìjàkadì, kí ó sì lo àìmọkan wọn lódí sí wọn."
It is a basic science law that every object remains at rest until a force is applied to it.,Ó jẹ́ òfin ìpìlẹ̀ nínú sáyẹ́ǹsì pé gbogbo nǹkan a má a wà ní ipò ìsinmi títí di ìgbà tí a bá lo agbára sí i.
"So also, every change of position calls for the application of relevant forces.","Bákan náà, gbogbo ìṣípòpadà a má a nílò ìmúlò àwọn agbára tó yẹ."
"Certain forces must come into play, before any object can change from one position to another.","Àwọn agbára kan gbọ́dọ̀ jẹ́ lílò, kí ohunkóhun tó lè ṣípòpadà láti ibìkan sí òmíràn."
It will not change position because it has to change or it is programmed to change; it will only change if the relevant forces are applied.,Kì yóò ṣípòpadà nítorí tí ó gbọ́dọ̀ yípadà tàbí nítorí tí a ti ṣètó rẹ̀ láti yípadà; yóò yípadà bí a bá lo àwọn agbára tó yẹ fún un nìkan ni.
"Money failure is not new, but then, recovery is also not new.","Títán owó kìí ṣe ohun tuntun, ṣùgbọ́n ṣá, ìpadàbọ̀sípò náà kìí ṣe ohun tuntun pẹ̀lú."
"There was a time recorded in scriptures, when money failed in Egypt and men offered themselves for sale in exchange for food.","Àsìkò kan wà tí a ṣàkọsílẹ̀ rẹ̀ nínú ìwé-mímọ́ pé owó tán ní Egipti, àwọn ènìyàn sì gbé ara wọn sílẹ̀ bí ọjà fún títà ní pàṣípààrọ̀ fún oúnjẹ."
"And when money failed in the land of Egypt, and in the land of Canaan, all the Egyptians came unto Joseph, and said, Give us bread: for why should we die in thy presence? for the money faileth.","Nigbati owo si tán ni ilẹ Egipti, ati ni ilẹ Kenaani, gbogbo awọn ara Egipti tọ̀ Josefu wá, nwọn si wipe, Fun wa li onjẹ: nitori kili awa o ṣe kú li oju rẹ? owo sa tán."
"Wherefore shall we die before thine eyes, both we and our land? buy us and our land for bread, and we and our land will be servants unto Pharaoh: and give us seed, that we may live, and not die, that the land be not desolate.","Nitori kili awa o ṣe kú li oju rẹ, ati awa ati ilẹ wa? fi onjẹ rà wa ati ilẹ wa, ati awa ati ilẹ wa yio ma ṣe ẹrú Farao: ki o si fun wa ni irugbìn, ki awa ki o le yè, ki a má kú, ki ilẹ ki o má ṣe di ahoro."
"Genesis 47:15,19","Gẹnẹsisi 47:15,19"
"Economic recovery is a universal possibility, and it has been proved in several parts of the world.","Ìpadàbọ̀sípò ọrọ̀-ajé jẹ́ ohun tó ṣeé ṣe káàkiri àgbáyé, a sì ti fi ìdí èyí múlẹ̀ ní ibi púpọ̀ káàkiri àgbáyé."
"History records that the nation of America went through a great time of economic depression, yet today, the world’s economy is determined by the value of the American dollar.","Ìtàn ṣe àkọsílẹ̀ rẹ̀ pé orílẹ̀-èdè Amẹrika la àsìkò ìyàn ńlá kan kọjá, bẹ́ẹ̀ sì ni lónìí, iye ti dọ́là Amẹrika jẹ́ ni a fi ń mọ bí ọrọ̀-ajé àgbáyé ṣe ń lọ sí."
"China has become a nation to watch today, because it is now gradually taking over economically after a process of recovery.",Orílẹ̀-èdè Ṣaina ti di orílẹ̀-èdè tí a gbọ́dọ̀ má a ṣọ́ lódè-òní nítorí tí ó ti ń gba ìṣàkóso ọrọ̀-ajé ní díẹ̀díẹ̀ lẹ́yìn ìmúpadàbọ̀sípò rẹ̀.
"It is taking over not because of its population, as it has always been highly populated, but because there is an economic re-awakening that is repositioning her in the forefront economically.","Kìí ṣe nítorí iye àwọn ènìyàn tó wà níbẹ̀ ni ó ṣe ń gba ìṣàkóso, nítorí ó ti jẹ́ ibití àwọn ènìyàn pọ̀ sí tẹ́lẹ̀rí, ṣùgbọ́n nítorí tí ìtanijí nípa ọrọ̀-ajé ń lọ lọ́wọ́ níbẹ̀, èyí tó ń fi í sí ipò àṣíwájú nínú ètò ọrọ̀-ajé."
"At independence, Singapore was assisted by Ghana.","Lásìkò òmìnira, Ghana ni ó ran Singapọ lọ́wọ́."
"But today, see the gap between Singapore and Ghana; it cannot be measured.","Ṣùgbọ́n lónìí, ẹ wo àlàfo tó wà laarin Singapọ àti Ghana; kò ní ìwọ̀n."
"The G8 is powerful, not because of its political system, but due to its economic power.","Àjọ tó lágbára ni G8 jẹ́, kìí ṣe nítorí ètò òṣèlú rẹ̀, ṣùgbọ́n nítorí agbára rẹ̀ nípa ọrọ̀-ajé."
Winning the war against poverty begins with a correct diagnosis of what causes poverty.,Bíborí ogun tó ń gbani lọ́wọ́ òṣì a má a bẹ̀rẹ̀ pẹ̀lú níní òye tó tọ́ nípa ohun tó ń fa òṣì.
"When you begin at the beginning, you are too sure of the end.","Nígbàtí o bá bẹ̀rẹ̀ láti ìbẹ̀rẹ̀, òpin yóò dá ọ lójú gidi gan ni."
"Often, particularly in the developing nations, it is wrong diagnosis that causes the death of patients.","Nígbà púpọ̀, pàápàá jùlọ ní àwọn orílẹ̀-èdè tó ṣì ń ní ìdàgbàsókè, òye àìtọ́ nípa irú àìsàn tó ń bá ni jà ni ó má a ń fa ikú àwọn aláìsàn."
"A man may be suffering from cancer of the lungs, but he is being treated for a common cold.","Àrùn jẹjẹrẹ káńsà ti ẹ̀dọ̀fóró lè má a bá ènìyàn jà, ṣùgbọ́n kí wọ́n má a ṣe ìtọ́jú fún un lórí àìsàn òtútù lásán."
"After his death, the doctors see the need for a postmortem, to try to find out what actually killed him.","Lẹ́yìn ikú rẹ̀, àwọn dọ́kítà á wá ríi pé àwọn nílò láti ṣe àyẹ̀wò òkú rẹ̀, láti gbìyànjú láti mọ ohun tó pa á gangan."
"As long as the diagnosis is wrong, you cannot hope for economic recovery.","Níwọ̀n ìgbà tó bá ṣì jẹ́ pé òye ohun tó ń ṣe òkùnfà rẹ̀ kò tíì jẹ́ títọ́, ènìyàn kò lè má a ní ìrètí pé ọrọ̀-ajé yóò dí mímúpadàbọ̀sípò."
"Until you change the way you think, you cannot change the way you live.","Bí o kò bá tíì yí bí o ṣe ń ronú padà, ìwọ kò lè yí irú ìgbé-ayé tí ìwọ ń gbé padà."
The cause of poverty is more of the mind than it is of the hand.,Ohun tó ń ṣe òkùnfà òṣì níí ṣe pẹ̀lú èrò ẹni ju ọwọ́ ẹni lọ.
It is more of mentality than it is of activity.,Ó jẹ mọ́ ọgbọ́n orí ju iṣẹ́ ọwọ́ ẹni lọ.
"As a man thinks in his heart, so is he.","Nitoripe bi ènìyàn ti nṣiro li ọkàn rẹ̀, bẹ̃ li o ri."
"Likewise, until your mentality is healed, your recovery is not in view.","Lọ́nà kan náà, bí èrò rẹ kò bá tíì gba ìmúláradá, ìmúpadàbọ̀sípò rẹ kò tíì lè wáyé."
It is your mental picture that determines your actual future.,Àwòràn tó wà nínú ọpọlọ rẹ ni yóò sọ bí ọjọ́-ọ̀la rẹ yóò ṣe rí gangan.
The mind has to be re-positioned before a recovery can be experienced.,A gbọ́dọ̀ mú èrò wa wá sí ipò tó yẹ kí a tó lè ní ìrírí ìmúpadàbọ̀sípò.
"Therefore, it takes possessing a possibility mentality to recover your economic dignity.","Nítorí náà, èrò ẹni gbọ́dọ̀ jẹ́ èyí tó mọ̀ pé ohun gbogbo ló ṣeé ṣe kí a tó lè dá ọ padà sípò ọrọ̀-ajé tó buyìnkúnni."
It is important to recognize that nothing erodes human dignity like poverty.,Ò ṣe pàtàkì láti mọ̀ pé kò sí ohun tó ń sọ ènìyàn dí aláìníyì bí òṣì.
Poverty has no honour or dignity whatsoever attached to it.,Òṣì kò ní ọ̀wọ̀ tàbí iyì kankan tó so pọ̀ mọ́ ọ.
"Today, the world has no regards whatsoever for any input in world affairs from Africa, because of her poverty.","Lónìí, ayé kò ní ìbọ̀wọ̀fún yóòwù fún ohunkóhun tí Afrika ní láti sọ nípa ohun tó ń lọ láyé nítorí óṣì rẹ̀."
"Africa has no voting power, our large population notwithstanding.","Afrika kò ní ẹ̀tọ́ àti dìbò kankan lórí èyí, bí ó tilẹ̀ jẹ́ pé ènìyàn pọ̀ jantiri níbẹ̀."
"Population-wise, Africa is about twice the size of the United States of America, but our almost six hundred million population is of no consequence to the world. Why?","Bí a bá ń sọ nípa iye ènìyàn, Afrika fẹ́rẹ̀ tó ẹ̀ẹ̀mejì iye ti Amẹrika, ṣùgbọ́n iye ènìyàn tó fẹ́rẹ̀ tó mílíọ̀nù mẹ́fà kò ní ipa kankan pàtó lórí àwọn ènìyàn tó kù lórí ilẹ̀-ayé. Kíni ìdí èyí?"
"Like the Bible says, “…The voice of a poor man is not heard and his words are despised” (Ecclesiastes 9:14-17).","Gẹ́gẹ́ bí Bíbélì ṣe wí, “...Ohùn táláká kìí tó òkè, a sì má a ń kẹ́gàn ọgbọ́n rẹ̀” (Oniwasu 9:14-17)."
"Even though his wisdom will deliver cities, no one knows anything about that poor man.","Bí ó tilẹ̀ jẹ́ pé ọgbọ́n rẹ yóò gba àwọn ìlú ńláńla là, kò sí ẹni tó mọ ohunkóhun nípa ọkùnrin táláká yẹn."
"He is an employee, so the employer takes the glory.","Ó jẹ́ ẹnití a gbàsíṣẹ́, nítorí náà agbanisíṣẹ́ rẹ̀ ló ni gbogbo ògo."
"Though Africa’s input in America’s sugarcane plantation as labourers was part of what helped in revitalizing the economy of America, the African is still not considered as any creation of relevance, because the voice of a poor man is not heard, and his wisdom is despised.","Bí ó tilẹ̀ jẹ́ pé iṣẹ́ tí Afrika ṣe ní oko ìrèké Amẹrika gẹ̀gẹ̀ bí alágbàṣe jẹ́ ara ohun tó ṣèrànwọ́ láti mú ọrọ̀-ajé Amẹrika padabọ̀sípò, a kò tíì ka àwọn ará Afrika kún ẹ̀dá kan tó ṣe pàtàkì, nítorí ohùn táláká kìí tó òkè, a sì má a ń kẹ́gàn ọgbọ́n rẹ̀."
"So, no matter what we know as Africans, until we recover our economic dignity, we will remain the footmat of the world.","Nítorí náà, bí ó ti wù kí ohun yóòwù tí a mọ̀ nípa àwọn ará Afrika ṣe lè rí, bí a kò bá tíì dá ọrọ̀-ajé wa padà sípò tó buyìnkúnni, àwa yóò ṣì má a jẹ́ ẹní-ìnusẹ̀ gbogbo àgbáyé ni."
That is why economic recovery is a must.,Nítorí náà ni ìmúpadàbọ̀sípò ọrọ̀-ajé ṣe jẹ́ ohun tó pọn dandan.
Our human dignity as a people must be recovered.,A gbọ́dọ̀ mú iyí ìṣẹ̀dá wa padàbọ̀sípò.
"Economic failure or depression is no news, just as economic recovery is no news either.","Ìkùnà tàbí ìrẹ̀wẹ̀sì ètò ọrọ̀-ajé kíì ṣe ìròyìn tuntun, bí ó ṣe jẹ́ pé ìmúpadàbọ̀sípò ètò ọrọ̀-ajé kìí ṣe ìròyìn tuntun pẹ̀lú."
"All it takes to recover from an economic depression or failure, is to know where to begin from and start treating the disease from there.","Ohun tí ènìyàn nílò láti padàbọ̀sípò lẹ́yìn ìrẹ̀wẹ̀sì tàbí ìkùnà ọrọ̀-ajé ni láti mọ ibití yóò ti bẹ̀rẹ̀, kí ó sì bẹ̀rẹ̀ sí ní ṣe ìwòsàn fún àrùn náà láti ibẹ̀."
Mentality!,Èrò ọpọlọ!
I was privileged to be at the Oral Roberts University in America some years ago.,Mo ní àǹfàní láti wà ní Unifásitì Oral Roberts ní Amẹrika ní bí ọdún mélòó kan sẹ́yìn.
"I walked around the campus ground, admiring all I saw there.","Mo rìn káàkiri lórí ilẹ̀ ilé-ẹ̀kọ́ giga náà, níbití ohun gbogbo tí mo rí ti jọmilójú."
"As I walked around the campus, I found myself saying, “This is God; but it can happen anywhere else.”","Bí mo ṣe ń rìn kaàkiri lórí ilẹ́ ilé-ẹ̀kọ́ gíga náà, mo kàn rí ara mi bí mo ṣe ń sọ pé, “Ọlọrun ló ṣe èyí, ṣùgbọ́n ó ṣeé ṣe níbòmíràn náà.”"
That is the kind of mentality that brings about a recovery:,Irú èrò ọpọlọ bẹ́ẹ̀ ló má a ń fa ìmúpadàbọ̀sípò:
“...but it can happen anywhere else!”,“...ṣùgbọ́n ó ṣeé ṣe níbòmíràn náà!”
"I know that in my lifetime, Africa will start causing the same positive concern that China is causing the world today.","Mo mọ̀ pé ní ojú ẹ̀mí mi, Afrika náà yóò bẹ̀rẹ̀ sí ní ṣe irú àwọn ohun tó kúnnilójú lọ́nà tó dára báwọ̀nyí tí Ṣaina ń ṣe ní àgbáyé lónìí."
"No longer should Africans rush abroad to continue the slavery of our forefathers; we should all remain at home, and with our individual vision and mission, begin to make contributions that will move the continent towards economic recovery.","Kò yẹ kí àwọn ará Afrika má a sálọ sí àwọn ìlú òkèèrè láti má a lọ tẹ̀síwájú pẹ̀lú ẹrú-ṣíṣe tí àwọn bàbá ńla wa ṣe kù; gbogbo wa gbọ́dọ̀ dúró sílé, àti pẹ̀lú àlá wa àti iṣẹ́ tí a rán wa wá sáyé láti ṣe, kí á bẹ̀rẹ̀ sí sa ipá wa tí yóò mú àpapọ̀ àwọn orílẹ̀-èdè wa padà bọ̀ sí ipò ètò ọrọ̀-ajé tó dára."
"With all of us pulling our resources together, very soon we will cause an eruption that the world cannot ignore.","Bí gbogbo wa bá fọwọ́sowọ́pọ̀ lápapọ̀, láìpẹ́ àwa yóò fa ìrúsókè tí gbogbo àgbáyé kò ní lè fọwọ́rọ́sẹ́yìn."
"Very soon, it will be Africa’s turn for an industrial revolution!","Láìpẹ́, yóò kan Afrika láti mú àyípadà wáyé ní ẹ̀ka lílò ìmọ̀-ẹ̀rọ láti fi ṣàgbéjáde àwọn ohun tuntun."
The economic dignity of this continent will be recovered.,Iyì ètò ọrọ̀-ajé àpapọ̀ àwọn orílẹ̀-èdè wa wọ̀nyí yóò padàbọ̀sípò.
You may choose to be a part of it or be somewhere else on a slave trade trip and be hearing of what is happening back home.,"O lè yàn láti jẹ́ ara èyí tàbí láti wà ní ibòmíràn nínú ìrìn-àjò oko-ẹrú, kí o sì má a gbọ́ nípa nǹkan tó ń ṣẹlẹ̀ nílé."
It is a choice you must make.,Èyí jẹ́ àṣàyàn tí o gbọ́dọ̀ yàn.
"You will need to wake up and subject yourself to the reorientation and reconstruction of your thinking process, in order to regain your human value.","Wàá nílò láti jídìde, kí o fi ara rẹ sílẹ̀ fún àtúntò àti àtúnkọ́ ìlànà èrò rẹ, kí o bá a lè tún jèèrè iyì tó yẹ fún ọ gẹ́gẹ́ bí ẹ̀dá ènìyàn lẹ́ẹ̀kansíi."
"When we were little children in the faith, we used to sing songs like “When I get to heaven, there will be no more sorrow, no more hunger, no more sadness,” everything was post dated to heaven.","Nígbàtí a jẹ́ èwe nínú ìgbàgbọ́, àwa má a ń kọ àwọn orin kan báyìí pé “Bí mo bá dé ọ̀run, kì yóò sí ìkáànú mọ́, kì yóò sí ebi mọ́, kì yóò sí ìbànújẹ́ mọ́,”, ohun gbogbo ni a má a ń sún síwájú di ìgbà tí a bá dé ọ̀run."
We were taught that every good thing was going to be found when you get to heaven.,A kọ́ wa nígbà náà pé ohun rere gbogbo yóò jẹ́ tiwa nígbàtí a bá dé ọ̀run.
"But bit by bit, the mystery of God’s will began to unfold and now the earth is beginning to take on a heavenly identity.","Ṣùgbọ́n díẹ̀díẹ̀, ìjìnlẹ̀ tó wà nínú Ọlọrun bẹ̀rẹ̀ síí farahàn, ayé sì bẹ̀rẹ̀ nísìnyí láti má a gbé ààmì ìdánimọ̀ ti ọ̀run wọ̀."
"That is, by the understanding of His will, you will disarm all principalities and powers, you will make an open show of the devil.","Èyí ni pé, nípasẹ̀ òye ìfẹ́ Rẹ̀, ìwọ yóò gba gbogbo ohun ìjà àwọn ìjòyè àti ti àwọn alágbára kúrò lọ́wọ́ wọn, ìwọ yóò sì tú èṣù sí ìhòhò ní ìta gbangba."
You cannot keep on struggling on the earth.,O kò lè má a la ìrọ́jú kọjá nígbà gbogbo lórí ilẹ̀ ayé.
"The more light you have, the more heavenly your life.",Bí ìmọ́lẹ̀ tí o ní ṣe pọ̀ tó ni ìgbésí ayé rẹ yóò ṣe dàbí ti ọ̀run tó.
"If you appreciate the mystery of His will, you will live a heavenly life on earth.","Bí ìwọ bá ní òye ìjìnlẹ̀ nípa ìfẹ́ Rẹ̀, ìwọ yóò gbé ìgbé-ayé ti ọ̀run ní orí ilẹ̀ ayé."
It is just like what has happened concerning physical things like technology.,"Ó fẹ́ dàbí ohun tó ṣẹlẹ̀ sí àwọn nǹkan tí a lè fojú rí ni, bí ìmọ̀ ẹ̀rọ."
"For instance, in the early days of radio communication, you needed to shout “Over! Over!” at the top of your voice.","Fún àpẹẹrẹ, nígbàtí ìbáraẹnisọ̀rọ̀ nípasẹ̀ ẹ̀rọ rédíò ṣẹ̀ṣẹ̀ wáyé, o gbọ́dọ̀ pariwo pé “Ó parí! Ó parí!” bí ohùn rẹ bá ṣe lè lọ sókè tó."
